iter	Accuracy	MultiClass
172	0.9765713696	0.0939654625
173	0.9766745794	0.09381555958
174	0.9766745794	0.09337175684
175	0.9769842089	0.09275479109
176	0.9771906285	0.09268779332
177	0.9776034679	0.09250896762
178	0.9777066777	0.09237839543
179	0.9780163072	0.09159820829
180	0.9779130973	0.09124467566
181	0.9785323563	0.09073250681
182	0.9788419858	0.08997214127
183	0.9787387759	0.08931463612
184	0.9787387759	0.08890854023
185	0.9785323563	0.08882992694
186	0.9787387759	0.08878060664
187	0.9787387759	0.08869580134
188	0.9788419858	0.08835251026
189	0.9790484054	0.08794303893
190	0.9791516152	0.08769171417
191	0.9792548251	0.08763308914
192	0.9794612447	0.08705904608
193	0.9796676644	0.08669942324
194	0.9797708742	0.08632627423
195	0.9801837135	0.08606130693
196	0.9801837135	0.08542489933
197	0.9800805037	0.08532206121
198	0.9800805037	0.08524245344
199	0.9802869233	0.08497889362
200	0.9803901331	0.08484885506
201	0.9803901331	0.0847491879
202	0.9803901331	0.08468684118
203	0.9802869233	0.08428748246
204	0.9802869233	0.08421760289
205	0.9802869233	0.08406711972
206	0.980493343	0.08401865722
207	0.9806997626	0.08356351473
208	0.9808029724	0.08340931935
209	0.9808029724	0.0831180491
210	0.9809061823	0.08273086199
211	0.9812158117	0.08224162609
212	0.9812158117	0.08215266906
213	0.9811126019	0.08210515306
214	0.9810093921	0.08199732392
215	0.9810093921	0.08197100558
216	0.9810093921	0.08185868038
217	0.9812158117	0.08166028275
218	0.9812158117	0.08156978117
219	0.9813190216	0.08154070074
220	0.9812158117	0.08087636899
221	0.981628651	0.08055629456
222	0.9815254412	0.08048059726
223	0.9815254412	0.08027765717
224	0.9817318609	0.08011234932
225	0.9817318609	0.08002736801
226	0.9817318609	0.07999056793
227	0.9820414903	0.07936783123
228	0.9820414903	0.07929283732
229	0.98224791	0.07875627993
230	0.9821447002	0.0782957152
231	0.9827639591	0.07813436555
232	0.982867169	0.07774837798
233	0.9829703788	0.07762987042
234	0.9830735886	0.07722148429
235	0.9834864279	0.07675573775
236	0.9837960574	0.07663385825
237	0.9838992672	0.07652239042
238	0.9841056869	0.07606625546
239	0.9845185262	0.07544809085
240	0.984621736	0.07531392809
241	0.9845185262	0.07509904507
242	0.9844153163	0.07483801279
243	0.9844153163	0.07479511338
244	0.9851377851	0.07430237423
245	0.9851377851	0.07428109468
246	0.9852409949	0.07424722776
247	0.9852409949	0.074123778
248	0.9855506244	0.07391063571
249	0.9854474146	0.07373953278
250	0.9854474146	0.07370392111
251	0.9855506244	0.07358990109
252	0.9861698834	0.07312847085
253	0.9861698834	0.07301441329
254	0.9862730932	0.0729196916
255	0.9862730932	0.07266111937
256	0.9862730932	0.07261916656
257	0.9861698834	0.07229087101
258	0.9864795128	0.07215919261
259	0.9866859325	0.07208275624
260	0.9870987718	0.07201668765
261	0.9870987718	0.07197586507
262	0.9870987718	0.07194755742
263	0.9870987718	0.07176106759
264	0.9870987718	0.07169711343
265	0.9874084013	0.07159099133
266	0.9872019816	0.07129421006
267	0.9872019816	0.07088045659
268	0.9872019816	0.07080302517
269	0.9872019816	0.07075901197
270	0.9874084013	0.07073384986
271	0.9874084013	0.07064521148
272	0.9877180308	0.06991514803
273	0.9877180308	0.06981380288
274	0.9877180308	0.06978576869
275	0.9875116111	0.06952775341
276	0.9877180308	0.06931294627
277	0.9876148209	0.06882625565
278	0.9876148209	0.06871009617
279	0.9877180308	0.06867553031
280	0.9877180308	0.06845345962
281	0.9879244504	0.06826915381
282	0.9879244504	0.06809870151
283	0.9880276602	0.06793776175
284	0.9880276602	0.06787246484
285	0.9878212406	0.06774522142
286	0.9880276602	0.0676468007
287	0.9881308701	0.06741007383
288	0.9882340799	0.06721100753
289	0.9882340799	0.06677569752
290	0.9882340799	0.06631621378
291	0.9884404995	0.06618167943
292	0.9884404995	0.06608010678
293	0.9883372897	0.06589170665
294	0.9884404995	0.06582223554
295	0.9885437094	0.06553774032
296	0.9885437094	0.06545468489
297	0.9885437094	0.06541259044
298	0.9886469192	0.0652107941
299	0.9886469192	0.0651133687
300	0.988750129	0.06509169117
301	0.988750129	0.06503689034
302	0.9889565487	0.06499721676
303	0.9889565487	0.06492996046
304	0.9888533388	0.06486200276
305	0.9890597585	0.06476498287
306	0.9889565487	0.06467160051
307	0.9889565487	0.06465228626
308	0.9889565487	0.06438890079
309	0.9891629683	0.06398811253
310	0.9890597585	0.06387979401
311	0.9890597585	0.06385420971
312	0.9890597585	0.06372560516
313	0.9890597585	0.0635447846
314	0.9892661781	0.06350727366
315	0.9892661781	0.06317699981
316	0.9892661781	0.06311610452
317	0.9892661781	0.06309529402
318	0.9892661781	0.06306842831
319	0.9892661781	0.0630401692
320	0.989369388	0.06298223696
321	0.989369388	0.06296055362
322	0.9894725978	0.06277401682
323	0.9894725978	0.06276125937
324	0.9897822273	0.06246823988
325	0.9899886469	0.06227110347
326	0.9898854371	0.06211285364
327	0.9899886469	0.062058712
328	0.9899886469	0.06189518413
329	0.9899886469	0.06186240604
330	0.9899886469	0.0618313305
331	0.9899886469	0.06182110586
332	0.9899886469	0.06171526466
333	0.9902982764	0.06139272198
334	0.9901950666	0.06134695704
335	0.9901950666	0.06113058195
336	0.9902982764	0.06108301715
337	0.990504696	0.06100901581
338	0.9906079059	0.06097273476
339	0.9908143255	0.06094771526
340	0.9908143255	0.06089477994
341	0.9910207452	0.06067186318
342	0.9909175353	0.06059884933
343	0.9910207452	0.06054222496
344	0.9909175353	0.06014454533
345	0.9912271648	0.0598489067
346	0.9912271648	0.059829191
347	0.9916400041	0.05967204757
348	0.9916400041	0.05953912398
349	0.991743214	0.05942617678
350	0.9918464238	0.05927994542
351	0.991743214	0.05922390296
352	0.9916400041	0.05914686123
353	0.9916400041	0.05909998727
354	0.991743214	0.05899616601
355	0.991743214	0.05895025848
356	0.9919496336	0.05890579838
357	0.9919496336	0.05870557814
358	0.9920528434	0.05865804016
359	0.9919496336	0.05864261621
360	0.9920528434	0.05842610481
361	0.9921560533	0.05837598315
362	0.9923624729	0.05793281044
363	0.9925688926	0.05768895944
364	0.9925688926	0.05754859535
365	0.9925688926	0.05745820815
366	0.992878522	0.05729368421
367	0.9930849417	0.05668781853
368	0.9930849417	0.05666739916
369	0.9929817319	0.05664914915
370	0.9931881515	0.05655531084
371	0.9930849417	0.05612279091
372	0.9931881515	0.05603468932
373	0.9932913613	0.05564155369
374	0.9932913613	0.05562023526
375	0.9933945712	0.05539529061
376	0.9933945712	0.05535631187
377	0.9937042006	0.055006176
378	0.9940138301	0.05464574004
379	0.9939106203	0.05461142324
380	0.9940138301	0.05452621139
381	0.9940138301	0.05450751632
382	0.9938074105	0.05439351895
383	0.9940138301	0.05431244368
384	0.9940138301	0.05426650461
385	0.9940138301	0.05425315255
386	0.9940138301	0.05421333742
387	0.9940138301	0.05395960279
388	0.9940138301	0.05392644124
389	0.9944266694	0.05337485612
390	0.9945298792	0.05310569479
391	0.9945298792	0.05307866147
392	0.9945298792	0.05304517297
393	0.9944266694	0.05276650144
394	0.9946330891	0.05263871136
395	0.9946330891	0.05245820589
396	0.9944266694	0.05218410392
397	0.9947362989	0.05197487192
398	0.9947362989	0.0519284915
399	0.9950459284	0.05160525347
400	0.995252348	0.05152948758
401	0.9951491382	0.05147396592
402	0.9953555578	0.05145996004
403	0.995252348	0.051175669
404	0.9954587677	0.05112796728
405	0.9955619775	0.05107734903
406	0.9955619775	0.05105456476
407	0.9956651873	0.05102998393
408	0.9955619775	0.05092940123
409	0.9954587677	0.05081591552
410	0.9956651873	0.05072853358
411	0.9956651873	0.05050320456
412	0.9956651873	0.0504066207
413	0.9956651873	0.05037302477
414	0.9956651873	0.05030376147
415	0.9954587677	0.05025332933
416	0.9954587677	0.05020558594
417	0.9956651873	0.05015355735
418	0.9955619775	0.05008409358
419	0.9957683972	0.05002030084
420	0.9957683972	0.04998585623
421	0.9957683972	0.04959273617
422	0.995871607	0.04939575905
423	0.995871607	0.04937045945
424	0.995871607	0.04933724596
425	0.9957683972	0.04932581938
426	0.995871607	0.04916336436
427	0.9960780266	0.04892794193
428	0.9960780266	0.04891526416
429	0.9960780266	0.04882768105
430	0.9960780266	0.04880729914
431	0.9960780266	0.04877860364
432	0.9960780266	0.04876155205
433	0.9960780266	0.04874013737
434	0.9960780266	0.04867907828
435	0.9960780266	0.04862229375
436	0.9960780266	0.04858893016
437	0.9959748168	0.04853410558
438	0.9959748168	0.04844923759
439	0.9960780266	0.04835936978
440	0.9961812365	0.04815967224
441	0.9961812365	0.04813901114
442	0.9962844463	0.04812120236
443	0.9962844463	0.04804785958
444	0.9962844463	0.0480234601
445	0.9963876561	0.04781080701
446	0.9962844463	0.04737817159
447	0.9962844463	0.04726087007
448	0.9963876561	0.04712812164
449	0.9963876561	0.04709648707
450	0.9963876561	0.04705373768
451	0.9963876561	0.04701060523
452	0.9963876561	0.0469656163
453	0.9963876561	0.04672116559
454	0.9963876561	0.04669368341
455	0.9963876561	0.04667692694
456	0.9963876561	0.04663726335
457	0.9963876561	0.04661964515
458	0.9963876561	0.0465831413
459	0.9963876561	0.04655879987
460	0.9963876561	0.04651947203
461	0.9964908659	0.04634116409
462	0.9964908659	0.04616761768
463	0.9966972856	0.04586523623
464	0.9966972856	0.04582273602
465	0.9966972856	0.04580816046
466	0.9966972856	0.04574283083
467	0.9966972856	0.045728295
468	0.9966972856	0.04531537615
469	0.9966972856	0.04526877932
470	0.9966972856	0.04520956009
471	0.9966972856	0.04518573473
472	0.9965940758	0.04513434742
473	0.9965940758	0.04506692055
474	0.9965940758	0.0449078325
475	0.9965940758	0.04486994015
476	0.9965940758	0.04485521612
477	0.9966972856	0.04483143435
478	0.9968004954	0.0447645856
479	0.9968004954	0.04473138224
480	0.9968004954	0.04470271601
481	0.9968004954	0.04466349483
482	0.9968004954	0.04464760138
483	0.9968004954	0.04458212406
484	0.9969037052	0.04449383159
485	0.9968004954	0.04447902478
486	0.9968004954	0.04443126193
487	0.9968004954	0.04439287466
488	0.9968004954	0.04437160467
489	0.9966972856	0.0441926
490	0.9966972856	0.04415008805
491	0.9966972856	0.04412227224
492	0.9966972856	0.04409849667
493	0.9966972856	0.04405635423
494	0.9966972856	0.04404344672
495	0.9966972856	0.04403841412
496	0.9966972856	0.04386688452
497	0.9968004954	0.04383212816
498	0.9968004954	0.04377756073
499	0.9968004954	0.04372480653
500	0.9968004954	0.04346635691
501	0.9970069151	0.04311596218
502	0.9971101249	0.04308601232
503	0.9970069151	0.04305436462
504	0.9970069151	0.04304792442
505	0.9971101249	0.04295938938
506	0.9971101249	0.04293779635
507	0.9971101249	0.04286747531
508	0.9972133347	0.04280585739
509	0.9973165445	0.04271797685
510	0.9973165445	0.04254013424
511	0.9973165445	0.04241109632
512	0.9972133347	0.04237506979
513	0.9973165445	0.04235824684
514	0.9973165445	0.04226120473
515	0.9973165445	0.042202546
516	0.9973165445	0.04218424469
517	0.9973165445	0.04216091074
518	0.9973165445	0.04213056733
519	0.9973165445	0.0420844043
520	0.9973165445	0.04207503464
521	0.9973165445	0.04206028703
522	0.9973165445	0.04197229199
523	0.9973165445	0.04193475771
524	0.9973165445	0.04190770239
525	0.9973165445	0.04173229873
526	0.9973165445	0.04171620815
527	0.9973165445	0.04170379502
528	0.9973165445	0.0416692913
529	0.9973165445	0.04166139537
530	0.9973165445	0.0416219664
531	0.9973165445	0.04156222647
532	0.9973165445	0.04153080996
533	0.9973165445	0.0414982302
534	0.9973165445	0.04141236823
535	0.9973165445	0.04138684954
536	0.9973165445	0.04131075796
537	0.9973165445	0.04129253912
538	0.9973165445	0.04125647009
539	0.9973165445	0.04119881028
540	0.9974197544	0.04115494921
541	0.9974197544	0.04113811787
542	0.9974197544	0.04112472783
543	0.9974197544	0.04110514558
544	0.9974197544	0.04109193056
545	0.9974197544	0.0410560287
546	0.9974197544	0.04096755354
547	0.9974197544	0.04094523041
548	0.9974197544	0.0409405123
549	0.9974197544	0.04091808609
550	0.9974197544	0.04090757395
551	0.9974197544	0.04084185216
552	0.9974197544	0.04072175355
553	0.9974197544	0.04061355752
554	0.9974197544	0.04057567776
555	0.9974197544	0.04052431749
556	0.9974197544	0.04051253357
557	0.9974197544	0.04049388725
558	0.9975229642	0.04045999707
559	0.9975229642	0.04038553618
560	0.997626174	0.04015248699
561	0.9975229642	0.04013632334
562	0.9975229642	0.04011136822
563	0.9975229642	0.04007454257
564	0.9975229642	0.04005461323
565	0.9975229642	0.03993107101
566	0.9975229642	0.03991023674
567	0.997626174	0.03987102948
568	0.997626174	0.03983220008
569	0.997626174	0.03980736795
570	0.9977293838	0.03964913944
571	0.997626174	0.03962626265
572	0.997626174	0.03960862139
573	0.997626174	0.03954243155
574	0.997626174	0.039530117
575	0.997626174	0.0394489153
576	0.997626174	0.03943806923
577	0.997626174	0.03941975672
578	0.997626174	0.03940139919
579	0.997626174	0.03936831583
580	0.997626174	0.03934983073
581	0.997626174	0.03933809171
582	0.997626174	0.03924595627
583	0.997626174	0.03923499679
584	0.997626174	0.03912438308
585	0.997626174	0.03911242353
586	0.997626174	0.03909914082
587	0.997626174	0.0390521703
588	0.997626174	0.03894403432
589	0.997626174	0.03892046772
590	0.997626174	0.03889378166
591	0.997626174	0.03888160154
592	0.997626174	0.03886935107
593	0.997626174	0.03885139308
594	0.997626174	0.03884323729
595	0.997626174	0.03882375546
596	0.997626174	0.03864074748
597	0.997626174	0.0386251931
598	0.997626174	0.03854256031
599	0.997626174	0.03853023305
